,title,headers,text,date,link
0,"Stocks will soar 17% through 2020, market bull Ed Yardeni predicts","Stocks will soar 17% through next year, market bull Ed Yardeni predicts. MORE IN TRADING NATION. News Tips. CNBC Newsletters","With the S&P 500 about one percent from its all-time highs, Wall Street bull Edward Yardeni is predicts a record breakout is coming. The Yardeni Research president believes between now and the end of next year, the index will soar 17% from current levels. “I’ve got 3,500 as my target for next year,” he told CNBC’s “Trading Nation” on Friday. “We’ll get there on higher earnings with maybe somewhat higher valuation as the perception continues to be that interest rates aren’t going up much, if at all.” Despite the major indexes breaking a three week win streak on Friday, Yardeni highlights the market’s recent composure for his latest bullish forecast. He gives the drone attack on Saudi Arabia’s infrastructure last weekend as an example of what could have been easily viewed as a strong catalyst for a deep sell-off. “That would have been a good opportunity to have a significant sell-off. Instead, it was pretty puny,” Yardeni said. “The market is hanging in there and should do better over the rest of the year.” Yardeni, who spent decades on the Street running investment strategy for firms that include Prudential and Deutsche Bank, builds his bullish case on the notion that Washington and Beijing agree to a trade war deal, a strong U.S. jobs market that’ll keep consumers spending and a global economy on the mend due to easy central bank policies. The positive developments will create momentum for growth stocks through 2020, according to Yardeni. He doubts value, which recently got a bid higher, will outperform in the coming months. “This has been a very interesting bull market. It seems to every now and then let the leaders become laggards and the laggards become leaders. There is a lot of rotation going on in this market from the get-go,” he said. “I don’t know if I’d read too much into it.” Yardeni contends investors were drawn to value because it got so cheap, writing in a recent note “forward P/Es of growth and value stocks hadn’t been this wide since the go-go days of the tech bubble and its aftermath.” He speculates growth stocks will be lead the market to new highs, listing consumer discretionary, semiconductors and financials as the biggest beneficiaries. “The economy is doing fine and the fundamentals for stocks moving higher are still intact,” Yardeni said. Disclaimer Got a confidential news tip? We want to hear from","Sep 21, 2019",https://www.cnbc.com/2019/09/21/stocks-will-soar-17percent-through-2020-market-bull-ed-yardeni-predicts.html
1,Consider This Before Buying American Airlines Group Inc. (NASDAQ:AAL) For The 1.4% Dividend - Simply Wall St News,Consider This Before Buying American Airlines Group Inc. (NASDAQ:AAL) For The 1.4% Dividend. Payout ratios. Is American Airlines Group's Balance,"Could American Airlines Group Inc. (NASDAQ:AAL) be an attractive dividend share to own for the long haul? Investors are often drawn to strong companies with the idea of reinvesting the dividends. If you are hoping to live on your dividends, it's important to be more stringent with your investments than the average punter. Regular readers know we like to apply the same approach to each dividend stock, and we hope you'll find our analysis useful. So you might want to consider getting our latest analysis on American Airlines Group's financial health here. With a 1.4% yield and a five-year payment history, investors probably think American Airlines Group looks like a reliable dividend stock. A low yield is generally a turn-off, but if the prospects for earnings growth were strong, investors might be pleasantly surprised by the long-term results. The company also returned around 5.0% of its market capitalisation to shareholders in the form of stock buybacks over the past year. Before you buy any stock for its dividend however, you should always remember Warren Buffett's two rules: 1) Don't lose money, and 2) Remember rule #1. We'll run through some checks below to help with this. Explore this interactive chart for our latest analysis on American Airlines Group! Companies (usually) pay dividends out of their earnings. If a company is paying more than it earns, the dividend might have to be cut. As a result, we should always investigate whether a company can afford its dividend, measured as a percentage of a company's net income after tax. In the last year, American Airlines Group paid out 12% of its profit as dividends. We'd say its dividends are thoroughly covered by earnings. We also measure dividends paid against a company's levered free cash flow, to see if enough cash was generated to cover the dividend. Unfortunately, while American Airlines Group pays a dividend, it also reported negative free cash flow last year. While there may be a good reason for this, it's not ideal from a dividend perspective. As American Airlines Group has a meaningful amount of debt, we need to check its balance sheet to see if the company might have debt risks. A rough way to check this is with these two simple ratios: a) net debt divided by EBITDA (earnings before interest, tax, depreciation and amortisation), and b) net interest cover. Net debt to EBITDA is a measure","Sep 22, 2019",https://simplywall.st/stocks/us/transportation/nasdaq-aal/american-airlines-group/news/consider-this-before-buying-american-airlines-group-inc-nasdaqaal-for-the-1-4-dividend
2,"KQ stock plummets fuelled by financial, management woes - The East African",". . . . . . . . KQ stock plummets fuelled by financial, management woes. SUNDAY SEPTEMBER 22 2019."," Kenya Airways planes on the taxi bay at Jomo Kenyatta International Airport in Kenya's capital Nairobi on March 6, 2019. PHOTO | FILE | NATION MEDIA GROUP Kenya Airways stock on the Nairobi Securities Exchange (NSE) has fallen 71 per cent in the past 12 months as both financial and management crisis weigh down the 42-year-old carrier whose revival now hinges on a planned takeover by the government. Last week, the airline’s share price on the Nairobi bourse fell to as low as Ksh2.39 ($0.02) per share on September 18 from Ksh8.30 ($0.08) per share in the same period last year as the market reacted to news of the suspension of the chief financial officer Hellen Mathuka. Further instability is expected when CEO Sebastian Mikosz quits at the end of the year after declining to extend his three-year contract, which expires on December 31. Earlier in July, chief operating officer Jan De Vegt, who was seconded by partner KLM, resigned after serving for three years. The move pointed to a deteriorating relationship between the two airlines. SHARES A cross-section of analysts polled by The EastAfrican said investors are desperate to offload the airline’s shares owing to the uncertainty surrounding its revival while its planned takeover by the government does not guarantee premium to their share sell. “KQ will take some time to recover. I would imagine most shareholders are not expecting premiums during the takeover and they would prefer selling the shares at the prevailing market price,” said Eric Musau, head of research at Standard Investment Bank. “The share price has gone down but it’s a matter of demand and supply,” he added. Eric Munywoki, an independent financial analyst said KQ’s management has to quickly rethink the airline’s business model to survive increasing competition from regional and Middle East carriers such as Emirates, Qatar and Etihad. Ethiopian and Rwandan airlines have eaten into KQ’s market share while Uganda and Tanzania are revamping their national carriers. “In the short-term we don’t expect the share price to improve because the company’s performance has not been strong over the past three years,” said Mr Munywoki. Over the past six years, the airline’s stock has declined by over 74 per cent to Ksh2.39 ($0.02) per share from Ksh9.40 ($0.09) per share while the volume of shares traded have declined by 96 per cent to 24,500 from 680,000 in the same period, according to","Sep 22, 2019",https://www.theeastafrican.co.ke/tea/business/kq-stock-plummets-fuelled-by-financial-management-woes-1427776
3,Best Stocks Under $5.00 for 2020 | MarketBeat,. . Best Stocks Under $5.00 for 2020. Best Stocks Under $5 - What You Need to Know Before You,"  When you think of those mythical, rags-to-riches stories of someone striking it big in the stock market, what you’re most likely thinking of is someone who scored it big with stocks under $5, which are also called penny stocks. Before getting involved in stocks under 5 dollars, there are a few important things to know. Penny stocks don’t literally have to be priced at pennies, though some are just that. Penny stocks refer to stocks that generally trade under $5 a share. A broader question might be, “Should I buy stocks?” The answer to both questions is the same: It depends. You should not buy stocks if you don’t have a discriminating sense of how to invest money, or if you don’t have guidance around the topic from someone who does. With the right knowledge, stocks are an excellent investment, and according to some estimates, far more sound than real estate. Yes, stock prices do fluctuate (sometimes wildly), but over the last several decades, they have outperformed real estate in some regards. Investors who know what they’re doing with stocks can make huge gains, build enormous wealth, and create exponential financial success. Stocks under $5, in particular, present an incredible opportunity to make huge gains. It all comes down to research. You never want to sink all of your investment cash into just one basket. Estimates vary on the exact percentage, but most experts agree that the majority of your portfolio should be invested in solid, stable companies. That said, stocks under $5 can be a good place to do a little value investing and give some growth to your cash. It’s important to keep in mind that there are many trading strategies in relation to the stock market, and investing in undervalued, up-and-coming companies is only one strategy. For example, some investors prefer to focus on stocks that pay out dividends, where each share pays out dividend payments of company profit—and a large number of shares creates a solid cash flow. Other investors like to buy shares in specific industries, like tech stocks, or they may choose to ride the market as they engage in the ups and downs of day trading, flipping stocks for profit. Whichever stock trading strategy you prefer, penny stocks can be some of the best growth stocks for their undervalued cost—if you trade the right way. Stocks that trade under $5 per",6 hours ago,https://www.marketbeat.com/market-data/low-priced-stocks/stocks-under-5/
4,10 Best Performing S&P 500 Stocks Since 2000. You’ll Never Guess No. 1,We value your privacy. 10 Best Performing S&P 500 Stocks Since 2000. You’ll Never Guess No. 1. 10. Activision Blizzard,"We and our
partners
store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised ads and content, ad and content measurement, and audience insights, as well as to develop and improve products. With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing. Your preferences will apply to this website only. You can change your preferences at any time by returning to this site or visit our privacy policy. By: Kiril Nikolaev | Email | Leave a comment It would appear that the tech industry took over ever since the turn of the millennium. Companies like Apple, Google, and Amazon became household names. Many got rich investing in these tech giants. However, if you combine the gains of these three stocks from the end of 2000 up to today, the sum won’t even amount to half of the returns generously provided by the best performer on our list. Here are the top 10 best performing S&P 500 stocks since the turn of 2000. Activision leads all stocks in the gaming industry. The California-based video game publisher is popular for names such as Starcraft and World of Warcraft. By the end of 2000, it was trading at $1.26 per share. Today, the stock has skyrocketed to $54.76 per share for an explosion of 4,246 percent. #WoWClassic is live! Let’s celebrate with a #ToastToWarcraft and 15 years of epic adventures and everlasting allies. Here's to rediscovering Azeroth and forging new friendships! pic.twitter.com/4Ojgyh8TC6 — World of Warcraft (@Warcraft) August 26, 2019  The petroleum refiner and distributor takes the ninth spot on our list. At the close of 2000, HollyFrontier traded at $1.17 per share. Those who bought stock in the company are now enjoying gains of 4,398 percent as the equity is trading at $52.63 today. The Maine-based developer and distributor of animal diagnostic tests, software, and water microbiology tests sits at No. 8. By the end of 2000, IDXX shares were trading at","Sep 21, 2019",https://www.ccn.com/10-best-performing-sp-500-stocks-since-2000-youll-never-guess-no-1/
5,"Ethiopian Airlines: Latest News & Videos, Photos about Ethiopian Airlines  | The Economic Times",. . . . . . . . . . . . . . . . . ETHIOPIAN AIRLINES. Ethiopian,"    Emergency landing of a freighter flight of Ethio... The latest addition of Ethiopian Airlines takes the total number of fre... The Max was grounded after an Indonesian carrier Lion Air ... This would mean good news for SpiceJet, which has 205 Boeing 737 Max’s on order and about 13 of them are grounded in India since the FAA banned it after two fatal crashes in Indonesia and Ethiopia. The communications threaten to upend Boeing’s efforts to rebuild public trust in the 737 Max “Boeing has tested over 800 test flights (on B737Max) and is working on improving the training process involving B737Max. We are working closely with regulators round the world to bring the aircraft back to service,” said Darren Hulst, director (product, forecast and current market), Boeing Commercial Aircraft. ""We are working with pilot community...of the customer airlines and the flight attendants. We are working with our customers (airlines) to figure out how we can communicate the message to passengers,"" said Darren Hulst, Deputy Vice President of Commercial Marketing, Boeing in New Delhi. As many as 19 passenger aircraft and four freighter planes of SpiceJet have completed more than 26,000 flight cycles and those would be subject to inspection. The company had already rung up $8.3 billion in Max-related expenses through July. The airline has inked a pact for leasing the four MAX aircraft, SpiceJet Chairman and Managing Director Ajay Singh told shareholders. The scare happened on Ethiopian Airlines' flight ET-687 on September 15, which took off with 223 passengers for Addis Ababa at 6.40am. Directorate General of Civil Aviation (DGCA) told PTI that the regulator will ""conduct its own checks once the US aviation regulator Federal Aviation Administration (FAA) gives the green light to the 737 Max plane"". Civil Aviation Minister Hardeep Singh Puri in a written reply in Rajya Sabha said that ""18 Boeing 737 Max aircraft are grounded in the country, out of which 13 are from SpiceJet and five are from Jet Airways"". There were no immediate details on what caused the crash of the Boeing 737-8 MAX plane, which was new and had been delivered to the airline in November. The official did not give the actual number of aircraft that are currently flying. Trending Now Popular Categories Hot On Web In Case You Missed It ET Verticals More From Our Network Other Useful Links Services",12 hours ago,https://economictimes.indiatimes.com/topic/Ethiopian-Airlines
6,NYSE:TDOC (Teladoc Health) - The Motley Fool Canada,". . . . . . . . NYSE:TDOC (Teladoc Health). About. Related Articles. Up 300%, Is Well Health (TSX:WELL)","     Well Health Technologies Corp (TSX:WELL) shares popped recently on news of its investment in a U.S. telehealth company. More » Adding these growing mid-cap companies to portfolios this month could pay off. More » Because when it comes to small caps, buying a few isn't enough. More » Returns since inception, October 2013. Current as of December 19, 2020. © 2020 The Motley Fool Canada, ULC. All rights reserved.","Sep 22, 2019",https://www.fool.ca/company/nyse-tdoc-teladoc-health/275199/
7,Apple gets US approval for Mac Pro tariff exemptions,. . . . S&P 500. Dow 30. Nasdaq. Russell 2000. Crude Oil. Gold. Silver. EUR/USD. 10-Yr Bond. GBP/USD. USD/JPY.,"                                                   President Trump may have claimed in July that Apple wouldn't get tariff exemptions for the redesigned Mac Pro, but the reality is very different. The US Trade Representative's office has confirmed that regulators approved 10 out of 15 of the company's tariff exemptions for computer components focusing primarily on the Mac Pro. It's not certain how much any remaining tariffs will affect pricing for the workstation, but any damage will clearly be limited. Reports have circulated that Apple was moving production to China, but that's not necessarily the case. Tim Cook mentioned during Apple's latest earnings call that the company wanted to keep making Mac Pros in the US and was investing in additional capacity. Even if Apple does assemble the reworked Mac in the US, though, tariffs could still be painful. Many of the parts Apple needs are still likely to be made in China, and those costs could quickly add up. The company isn't alone, either. Regulators also pulled tariffs for electronics that affect other PC makers, including those for partial circuit boards and graphics cards. If they hadn't, there was a good possibility that many computers would have become more expensive, including homebuilt PCs using Chinese parts. Apple has simply been one of the largest targets, and still risks significant cost increases if the US goes forward with a new round of tariffs on December 15th. Microsoft Corp (NASDAQ: MSFT) is designing in-house processors for server computers running on the company's cloud services, a development which will reduce reliance on Intel Corporation's (NASDAQ: INTC) chip technology, according to a Bloomberg report.Several chips stocks fell on the news.Intel shares traded down 6.3% to $47.46. The stock has a 52-week high of $69.29 and a 52-week low of $43.61.Advanced Micro Devices, Inc. (NASDAQ: AMD) closed down 0.95% at $95.92 per share.Nvidia Corporation (NASDAQ: NVDA) shares traded down 0.52% to $530.88. The stock has a 52-week high of $589.07 and a 52-week low of $180.68.Xilinx, Inc. (NASDAQ: XLNX) shares traded down 1.76% to $149.19. The stock has a 52-week high of $154.12 and a 52-week low of $67.68.Micron Technology,","Sep 21, 2019",https://finance.yahoo.com/news/2019-09-21-apple-mac-pro-us-tariff-exemptions.html
8,"Thomas Cook collapse boosts rival holiday companies, budget airlines | Reuters","Thomas Cook collapse boosts rival holiday companies, budget airlines. . . . . . . . . . . .","Discover Thomson Reuters More By Reuters Staff 2 MIN READ LONDON (Reuters) - Thomas Cook's TCG.L collapse boosted shares in TUI TUIGn.DE and budget airlines easyJet EZJ.L and Ryanair RYA.I on Monday as investors pinned hopes on the tour operator's closure cutting capacity in the saturated European holiday market. The world’s oldest travel firm went out of business on Monday, stranding some 600,000 holidaymakers around the globe and sparking the largest peacetime repatriation effort in British history involving some 150,000 travelers. At 0725 GMT, rival tour operator TUI was up as much as 8.4% at its highest since February, easyJet was up 6.1% and Ryanair was 2.6% higher, the three top gainers on the pan European STOXX 600 .STOXX index. ADVERTISEMENT The FTSE 350 travel and leisure index .FTNMX5750 rose to its highest level in almost a year. “Thomas Cook’s collapse likely brings bad news for holiday makers and UK/German governments, but takes capacity out and likely will boost shares most exposed to its markets,” said one dealer. In London, Dart Group DTG.L which runs package holiday company Jet2holidays was up 8.7% after hitting its highest level since May 21. ADVERTISEMENT FTSE small-cap listed On the Beach OTB.L was up 1.6% as hopes it will gain market share offset news the company will book a one-time charge due to the collapse. “The removal of Thomas Cook’s capacity from the market should be positive for pricing in the short term, over the forthcoming winter season,” Liberum analysts said in a note. Budget airlines easyJet and Ryanair benefited from the demise of Monarch Airlines and Thomas Cook is considerably bigger. Reporting by Josephine Mason; editing by Tommy Wilkes and Jason Neely Our Standards: The Thomson Reuters Trust Principles. MORE FROM REUTERS ADVERTISEMENT TRENDING STORIES      REUTERS NEWS NOW Subscribe to our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays.                    ","Sep 22, 2019",https://www.reuters.com/article/us-thomas-cook-grp-investment-stocks-idUSKBN1W80GU
9,"Jet Airways insolvency: Resolution may halt unless funds released, says RP counsel to NCLT - The Financial Express","Jet Airways insolvency: Resolution may halt unless funds released, says RP counsel to NCLT. In the matter of Jet Airways","The legal representative of the resolution professional (RP) for Jet Airways on Friday submitted a progress report on the resolution plan of the airline to the National Company Law Tribunal (NCLT). The legal counsel also sought directions from the NCLT asking some lenders of the airline to expedite the release of interim funding for the insolvency proceedings. The tribunal will hear the matter on October 9. In the first meeting of the Committee of Creditors (CoC) in July, lenders to Jet had sanctioned interim funding of around Rs 70 crore. Of the approved amount, only the State Bank of India has disbursed funds so far. Some lenders are yet to sanction the disbursal, the RP’s legal counsel told the tribunal. “The initial disbursement is almost exhausted. That means that the corporate insolvency resolution process could come to a grinding halt,” the legal representative to the RP told the tribunal. In the matter of Jet Airways vacating its headquarters in Mumbai, the two-member bench of the tribunal asked the RP’s legal counsel to submit the CoC’s resolution regarding the settlement reached with the owner of the property. The CoC and Luckystar, owner of Siroya Centre, the property where Jet is currently headquartered, have agreed on the terms for the settlement. Jet is expected to vacate the premises in 45 days once the two parties formally come to a settlement on the dues. The RP’s legal counsel informed the tribunal that the Synergy Group had met lenders and government representatives on the resolution of Jet Airways and the RP is optimistic on the same. Earlier this week, FE reported that the government assured Synergy Group, the sole suitor for the grounded airline, that returning Jet’s slots after March should not be an issue. Jet Airways was grounded on April 17 after lenders refused to provide emergency funding. Insolvency proceedings against the airline were initiated on June 20. Creditors have filed claims worth Rs 30,907 crore against the defunct airline so far.  Subscribe to Financial Express' weekly SME newsletter for latest and all-round coverage from the world of the biggest business in India - the Micro, Small and Medium Business. Get live Stock Prices from BSE, NSE, US Market and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.","Sep 21, 2019",https://www.financialexpress.com/industry/jet-airways-insolvency-resolution-may-halt-unless-funds-released-says-rp-counsel-to-nclt/1712964/
